location,count
上海,765
中国台湾,10
中国澳门,1
中国香港,26
云南,63
俄罗斯,3
内蒙古,9
几内亚,3
刚果民主共和国,1
加拿大,13
北京,582
吉林,118
四川,359
天津,109
奥地利,5
宁夏,12
安哥拉,1
安徽,152
山东,347
山西,78
广东,780
广西,71
德国,11
意大利,1
新加坡,5
新疆,36
新西兰,1
日本,63
未知,7
根西岛,2
比利时,5
江苏,373
江西,98
河北,188
河南,259
法国,11
波兰,1
泰国,3
浙江,617
海南,28
湖北,260
湖南,214
澳大利亚,8
甘肃,13
福建,221
美国,30
芬兰,3
英国,27
荷兰,2
西班牙,5
西藏,2
贵州,63
辽宁,260
重庆,198
阿曼,1
陕西,151
青海,1
韩国,58
马来西亚,13
黑龙江,81
